lrmoo:F1_Work,"rdaw:P10088 ""has title of work""","rdaw:P10004 ""has category of work""","rdaw:P10451 ""has artist person""","rdaw:P10417 ""has editorial director person""","rdaw:P10539 ""has photographer corporate body of work""","rdaw:P10442 ""has composer person of work""","rdaw:P10427 ""has sculptor person""","rdaw:P10418 ""has film director person""","rdaw:P10422 ""has film producer person""","rdaw:P10516 ""has producer corporate body""","rdaw:P10452 ""has founder person of work""","rdaw:P10436 ""has author person""","rdaw:P10219 ""has date of work""","rdaw:P10218 ""has place of origin of work""",owl:sameAs,lrmoo:R68i_is_inspiration_of,lrmoo:R68_is_inspired_by,pipo:evokes,lrmoo:R3_is_realised_in
giuoco-marca-stella-w,Il Gioco dell'Oca Marca Stella,https://iconclass.org/43C531,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q1548611,gdo-w,,,giuoco-marca-stella-e
giuoco-baruchello-w,Il Giuoco dell'Oca di Edoardo Sanguineti,https://vocab.getty.edu/aat/300033963,gianfranco-baruchello,,,,,,,,,,1967,,,,gdo-w,,giuoco-baruchello-e
just-what-w,Just what is it that makes today's homes so appealing?,https://vocab.getty.edu/aat/300033963,richard-hamilton,,,,,,,,,,1956,,https://www.wikidata.org/wiki/Q3190307,,,,just-what-e
young-romance-w,Young Romance,http://id.loc.gov/authorities/genreForms/gf2014026515,,joe-simon,,,,,,,,,1947,,https://www.wikidata.org/wiki/Q3572861,,,,young-romance-e
young-romance-w,,,,jack-kirby,,,,,,,,,,,,,,,
vak-vak-w,The Vak-Vak tree,http://vocab.getty.edu/aat/300015578,,,,,,,,,,,,,,,,,vak-vak-e
symbols-transformation-w,Symbols of Transformation,http://id.loc.gov/authorities/genreForms/gf2014026074,,,,,,,,,,carl-gustav-jung,,,https://id.oclc.org/worldcat/entity/E39PCGgM4td7W4Tr3RX7C9PbBP,,,,simboli-trasformazione-e
marilyn-photo-w,"Rooney, Monroe and Anthony",http://vocab.getty.edu/aat/300134989,,,pictorial-parade,,,,,,,,1952,hollywood,,,,,marilyn-photo-e
marilyn-song-w,Marilyn,http://id.worldcat.org/fast/887553,,,,ray-anthony,,,,,,,,united-states,,,,,marilyn-song-e
cassa-sistina-w,Cassa Sistina,http://vocab.getty.edu/aat/300047090,,,,,mario-ceroli,,,,,,1966,,,,,vampyr-w,cassa-sistina-e
vampyr-w,Vampyr,http://id.loc.gov/authorities/genreForms/gf2011026321,,,,,,carl-theodor-dreyer,carl-theodor-dreyer,,,,,france,https://www.wikidata.org/wiki/Q304923,,,,vampyr-e
vampyr-w,,,,,,,,,,,,,,germany,,,,,
occhio-degli-occhi-w,L'occhio degli occhi,http://vocab.getty.edu/aat/300404586,carol-rama,,,,,,,,,,1967,,,,,,occhio-degli-occhi-e
lady-from-shanghai-w,The Lady From Shanghai,http://id.loc.gov/authorities/genreForms/gf2011026250,,,,,,orson-welles,,columbia-pictures,,,,united-states,https://www.wikidata.org/wiki/Q1214303,,,,lady-from-shanghai-e
go-for-your-money-w,Go for your money,http://id.loc.gov/authorities/genreForms/gf2011026049,magdalo-mussio,,,,,,,,,,,,,,,,go-for-your-money-e
marcatre-w,Marcatrè,http://id.loc.gov/authorities/genreForms/gf2014026139,,,,,,,,,eugenio-battisti,,1963,genoa,https://worldcat.org/title/797897225,,,,marcatre-e