subject,predicate,object
young-romance-w,rdf:type,lrmoo:F1_Work
young-romance-w,rdaw:P10088,Young Romance
young-romance-w,rdaw:P10004,http://id.loc.gov/authorities/genreForms/gf2014026515
young-romance-w,rdaw:P10417,joe-simon|jack-kirby
young-romance-w,rdaw:P10219,1947
young-romance-w,rdaw:P10218,united-states
young-romance-w,owl:sameAs,https://www.wikidata.org/wiki/Q3572861
young-romance-w,lrmoo:R3_is_realised_in,young-romance-e
young-romance-e,rdf:type,lrmoo:F2_Expression
young-romance-e,rdae:P20001,rdaco:1014|rdaco:1020
young-romance-e,rdae:P20006,en-US
young-romance-e,lrmoo:R4i_is_embodied_in,young-romance-m
young-romance-m,rdf:type,lrmoo:F3_Manifestation
young-romance-m,rdam:P30420,feature-publications